Baker  (001),\
Benton  (003),\
Clackamas  (005),\
Clatsop  (007),\
Columbia  (009),\
Coos  (011),\
Crook  (013),\
Curry  (015),\
Deschutes  (017),\
Douglas  (019),\
Gilliam  (021),\
Grant  (023),\
Harney  (025),\
Hood River  (027),\
Jackson  (029),\
Jefferson  (031),\
Josephine  (033),\
Klamath  (035),\
Lake  (037),\
Lane  (039),\
Lincoln  (041),\
Linn  (043),\
Malheur  (045),\
Marion  (047),\
Morrow  (049),\
Multnomah  (051),\
Polk  (053),\
Sherman  (055),\
Tillamook  (057),\
Umatilla  (059),\
Union  (061),\
Wallowa  (063),\
Wasco  (065),\
Washington  (067),\
Wheeler  (069),\
Yamhill  (071),\
